%% pT, (1/2π p_T) d^2N/(dp_T dy) [(GeV/c)^-2], stat. err, sys err low, sys err high
   2.2 0.00075                                 8.6e-05    0.00018      0.00018
   2.8 0.00021                                 2.7e-05    2.3e-05      2.1e-05
   3.2 7.7e-05                                 9.6e-06    9.9e-06      9.7e-06
   3.8 2.8e-05                                 4e-06      4.3e-06      4.4e-06
   4.5 5.6e-06                                 8.7e-07    8.9e-07      9.2e-07
   6.5 2.9e-07                                 6.3e-08    7.2e-08      7.1e-08
