%% pT,  v_2,  stat_err, sys_err,  non-flow estimate
   1.52 0.036 0.041 	  0.00037 	0.0055
   2.47 0.071 0.029 	  0.011 	  0.013
   3.43 0.12 	0.034 	  0.0070 	  0.022
   4.36 0.090 0.052 	  0.0070 	  0.030
   5.95 0.12 	0.066 	  0.042 	  0.035
