%% pT,  v_2,    stat_err, sys_err
   1.6  0.02    0.054     0.027
   2.7  0.048   0.039     0.0098
   3.7  0.17    0.046     0.024
   4.7  0.16    0.066     0.063
   6.2  -0.0094 0.079     0.11
